Entry ID,Deposition Date,Refinement Resolution (Å),Unnamed: 3
3GJB,2009-03-08,2.2,
3GLV,2009-03-12,1.99,
3GZ7,2009-04-06,2.15,
3GZL,2009-04-07,2.55,
3GZM,2009-04-07,1.8,
3H50,2009-04-21,1.6,
3H7J,2009-04-27,1.87,
3H7Y,2009-04-28,2.22,
3H9A,2009-04-30,2.04,
3HGU,2009-05-14,1.95,
3HGV,2009-05-14,2.3,
3HRQ,2009-06-09,1.8,
3IAV,2009-07-14,1.75,
3IB9,2009-07-15,2.0,
3IBB,2009-07-15,3.5,
3IEB,2009-07-22,2.1,
3IX1,2009-09-03,2.4,
3JQJ,2009-09-07,1.9,
3JQK,2009-09-07,1.75,
3JQM,2009-09-07,2.5,
3JR2,2009-09-08,1.8,
3JSK,2009-09-10,2.7,
3JUM,2009-09-15,1.45,
3JUN,2009-09-15,1.8,
3JUO,2009-09-15,2.2,
3JUP,2009-09-15,1.9,
3JUQ,2009-09-15,1.75,
3JXP,2009-09-21,2.2,
3K9G,2009-10-15,2.25,
3K9H,2009-10-15,2.25,
3KY8,2009-12-04,2.12,
3L2K,2009-12-15,2.8,
3L3B,2009-12-16,1.9,
3LNV,2010-02-03,2.0,
3LUU,2010-02-18,1.93,
3LX3,2010-02-24,1.55,
3LZC,2010-03-01,2.261,
3LZD,2010-03-01,2.1,
3LZE,2010-03-01,1.9,
3M0N,2010-03-03,1.9,
3MSQ,2010-04-29,2.85,
3NGW,2010-06-13,2.31,
3NNF,2010-06-23,2.201,
3NNJ,2010-06-23,2.601,
3NNL,2010-06-23,2.883,
3NNM,2010-06-23,2.69,
3O05,2010-07-19,2.2,
3O06,2010-07-19,2.35,
3O07,2010-07-19,1.8,
3O31,2010-07-23,1.7,
3OI9,2010-08-18,1.95,
3PL0,2010-11-12,1.91,
3PZY,2010-12-14,1.8,
3RFQ,2011-04-06,2.25,
3T4F,2011-07-25,1.68,
3TCR,2011-08-09,2.3,
3TFZ,2011-08-16,2.39,
3TL1,2011-08-29,1.8,
3TO3,2011-09-03,2.382,
3U29,2011-10-02,2.0,
3WBI,2013-05-20,2.35,
3WBJ,2013-05-20,2.495,
3WBK,2013-05-20,3.3,
3WVQ,2014-06-04,1.955,
3WVR,2014-06-04,2.175,
4CT8,2014-03-12,2.16,
4CT9,2014-03-12,2.14,
4CTA,2014-03-12,2.21,
4DUN,2012-02-22,1.76,
4EXQ,2012-04-30,1.65,
4FDF,2012-05-28,2.202,
4FKZ,2012-06-14,1.69,
4HVM,2012-11-06,2.704,
4I7U,2012-11-30,1.55,
4I7V,2012-12-01,1.45,
4I7W,2012-12-01,1.3,
4J7G,2013-02-13,1.7,
4J7H,2013-02-13,1.69,
4JN3,2013-03-14,1.69,
4JN5,2013-03-14,2.44,
4K25,2013-04-08,2.88,
4K51,2013-04-12,2.65,
4NAG,2013-10-22,0.81,
4OYH,2014-02-12,2.409,
4P2S,2014-03-03,1.94,
4PNE,2014-05-23,1.5,
4PYD,2014-03-26,3.186,
4R0R,2014-08-01,2.15,
4RHP,2014-10-02,2.393,
4TWG,2014-06-30,1.85,
4UUW,2014-07-31,1.98,
4UUX,2014-07-31,1.99,
4W4R,2014-08-15,1.92,
4W4S,2014-08-15,2.0,
4WD9,2014-09-08,2.9,
4WJS,2014-10-01,1.8,
4WJU,2014-10-01,2.8,
4Y0W,2015-02-06,2.5,
4Y4L,2015-02-10,2.0,
4Y4M,2015-02-10,2.71,
4Y4N,2015-02-10,2.1,
4YX6,2015-03-22,1.86,
4ZXH,2015-05-20,2.7,
4ZXI,2015-05-20,2.9,
5BY8,2015-06-10,1.515,
5C05,2015-06-12,1.65,
5D84,2015-08-15,1.45,
5D85,2015-08-15,1.92,
5D86,2015-08-15,1.5,
5D87,2015-08-15,1.5,
5D9R,2015-08-18,2.052,
5EJD,2015-11-01,2.49,
5EMG,2015-11-06,1.06,
5EQ7,2015-11-12,1.19,
5EQ8,2015-11-12,1.3,
5EQ9,2015-11-12,1.36,
5EQA,2015-11-12,1.32,
5GUC,2016-08-28,1.8,
5GUE,2016-08-28,1.8,
5GUK,2016-08-29,2.0,
5GUL,2016-08-29,1.73,
5H5O,2016-11-08,2.122,
5H72,2016-11-16,2.4,
5HTL,2016-01-27,1.371,
5I2T,2016-02-09,2.543,
5I47,2016-02-11,2.35,
5K2M,2016-05-19,2.18,
5K2Z,2016-05-19,1.8,
5K3V,2016-05-20,1.9,
5KCN,2016-06-06,1.965,
5KSH,2016-07-08,2.4,
5MWQ,2017-01-19,,
5NWS,2017-05-08,2.227,
5O7O,2017-06-09,2.11,
5O8P,2017-06-14,2.75,
5O8R,2017-06-14,2.8,
5ONC,2017-08-03,2.19,
5OO4,2017-08-05,1.6,
5OO5,2017-08-05,1.78,
5OO8,2017-08-06,1.78,
5OO9,2017-08-06,1.59,
5OOA,2017-08-06,1.6,
5T3D,2016-08-25,2.8,
5T6O,2016-09-01,1.8,
5T7Z,2016-09-06,2.03,
5T81,2016-09-06,2.604,
5VAT,2017-03-27,2.6,
5VBG,2017-03-29,2.8,
5W8A,2017-06-21,2.0,
5W8C,2017-06-21,1.85,
5W8D,2017-06-21,2.0,
5W8E,2017-06-21,1.8,
5W8G,2017-06-21,2.0,
5W98,2017-06-22,1.23,
5W99,2017-06-22,1.59,
5WA3,2017-06-24,2.8,
5WA4,2017-06-24,2.646,
5WMM,2017-07-30,2.9,
5XAV,2017-03-15,1.479,
5XBJ,2017-03-19,2.448,
5XT5,2017-06-17,2.34,
5XT6,2017-06-17,3.5,
5XW2,2017-06-29,1.298,
5XW7,2017-06-29,3.272,
5Y08,2017-07-15,,
5Y9I,2017-08-25,1.901,
5Y9X,2017-08-29,1.39,
5Y9Y,2017-08-29,1.599,
5YDA,2017-09-12,2.353,
5YGJ,2017-09-23,2.648,
5YGK,2017-09-23,2.047,
5YKA,2017-10-12,1.448,
5YRP,2017-11-09,2.99,
5YVZ,2017-11-28,1.6,
5YW0,2017-11-28,1.49,
5Z36,2018-01-05,,
5Z3R,2018-01-08,2.42,
5Z4E,2018-01-11,,
5Z4F,2018-01-11,,
5ZS9,2018-04-28,2.8,
5ZSK,2018-04-28,3.24,
5ZSO,2018-04-29,2.7,
5ZSP,2018-04-29,2.57,
5ZSQ,2018-04-29,3.211,
5ZSR,2018-04-29,2.61,
5ZSS,2018-04-29,3.17,
5ZST,2018-04-29,3.1,
5ZT7,2018-05-02,2.94,
5ZT8,2018-05-02,2.0,
5ZT9,2018-05-02,2.8,
5ZTA,2018-05-02,3.07,
5ZW0,2018-05-14,2.54,
5ZW2,2018-05-14,1.803,
5ZW7,2018-05-14,1.3,
5ZW8,2018-05-14,1.689,
6A2E,2018-06-11,1.939,
6A4X,2018-06-21,1.63,
6A4Z,2018-06-21,1.7,
6A52,2018-06-21,2.0,
6A5F,2018-06-23,2.05,
6A5G,2018-06-23,2.3,
6A5H,2018-06-23,1.618,
6A6F,2018-06-27,2.1,
6AD3,2018-07-30,1.79,
6AF6,2018-08-08,1.62,
6AGL,2018-08-13,2.5,
6AGM,2018-08-13,2.0,
6AM7,2017-08-09,1.47,
6AM8,2017-08-09,1.83,
6AMC,2017-08-09,1.93,
6AMH,2017-08-09,1.63,
6AMI,2017-08-09,1.97,
6AWL,2017-09-05,2.0,
6BF8,2017-10-26,4.2,
6BVU,2017-12-13,,
6BVW,2017-12-14,,
6BVX,2017-12-14,,
6BVY,2017-12-14,,
6BWC,2017-12-14,2.7,
6BXK,2017-12-18,2.347,
6BXL,2017-12-18,2.301,
6BXM,2017-12-18,2.252,
6BXN,2017-12-18,2.079,
6BXO,2017-12-18,1.655,
6C0G,2017-12-31,2.145,
6C0H,2017-12-31,1.9,
6C0Y,2018-01-03,1.66,
6C3A,2018-01-09,1.53,
6C3B,2018-01-09,1.51,
6C3C,2018-01-09,1.5,
6C3D,2018-01-09,1.55,
6CGO,2018-02-20,2.0,
6CI7,2018-02-23,2.3,
6CIB,2018-02-23,2.05,
6CIV,2018-02-25,,
6CIX,2018-02-25,,
6CLW,2018-03-02,2.74,
6CLX,2018-03-02,2.73,
6CP3,2018-03-13,3.8,
6CP5,2018-03-13,4.2,
6CP6,2018-03-13,3.6,
6CP7,2018-03-13,4.1,
6CY8,2018-04-05,2.729,
6D34,2018-04-14,2.1,
6D8I,2018-04-26,1.65,
6D8J,2018-04-26,1.63,
6DCJ,2018-05-07,1.35,
6DG6,2018-05-16,1.999,
6DR3,2018-06-11,2.101,
6DYM,2018-07-02,2.02,
6DYN,2018-07-02,2.102,
6DYO,2018-07-02,2.84,
6DYR,2018-07-02,2.45,
6DYS,2018-07-02,2.3,
6E6U,2018-07-25,1.55,
6E6Y,2018-07-25,1.6,
6EC7,2018-08-07,2.15,
6EC8,2018-08-07,2.148,
6ESD,2017-10-20,2.6,
6F9Q,2017-12-15,1.4,
6FD2,2017-12-21,2.55,
6FIJ,2018-01-18,2.77,
6FIK,2018-01-18,7.1,
6FKO,2018-01-24,2.1,
6FLF,2018-01-25,1.33,
6FM0,2018-01-29,1.7,
6FM1,2018-01-29,2.35,
6FM3,2018-01-30,1.95,
6FSQ,2018-02-20,2.79,
6FT5,2018-02-20,1.94,
6FTE,2018-02-21,1.52,
6FW7,2018-03-05,3.0,
6FW8,2018-03-05,2.4,
6FW9,2018-03-05,2.739,
6FWA,2018-03-05,2.846,
6FXD,2018-03-08,1.45,
6G2P,2018-03-23,2.6,
6G56,2018-03-29,2.15,
6G58,2018-03-29,1.9,
6G59,2018-03-29,2.45,
6GE8,2018-04-25,1.869,
6GHF,2018-05-07,3.52,
6GJC,2018-05-16,3.3,
6GMZ,2018-05-29,2.22,
6GQ3,2018-06-07,1.85,
6GRG,2018-06-11,2.35,
6GRH,2018-06-11,1.85,
6GRI,2018-06-11,2.7,
6GS2,2018-06-13,2.04,
6H31,2018-07-17,2.3,
6H3D,2018-07-18,2.05,
6H3F,2018-07-18,2.21,
6H5E,2018-07-24,2.139,
6HFD,2018-08-21,1.86996804092,
6HFE,2018-08-21,1.47997437573,
6HFF,2018-08-21,1.51000106105,
6HFH,2018-08-21,1.44871265165,
6HFI,2018-08-21,1.45994719309,
6HFJ,2018-08-21,1.2,
6HFK,2018-08-21,1.45914405408,
6HFL,2018-08-21,1.35,
6HFN,2018-08-21,1.44965143011,
6HFP,2018-08-21,1.19822864429,
6HFQ,2018-08-21,1.14542458871,
6HFR,2018-08-21,1.29949373933,
6HFS,2018-08-21,1.34904510922,
6HFU,2018-08-21,1.39971025955,
6HG1,2018-08-22,2.12,
6HG2,2018-08-22,1.83,
6HG3,2018-08-22,1.97,
6HK1,2018-09-05,2.55,
6HNL,2018-09-16,2.2,
6HNM,2018-09-16,2.0,
6HNN,2018-09-16,2.7,
6HQV,2018-09-25,3.0,
6HS8,2018-09-29,1.7,
6HS9,2018-09-29,1.05,
6HSA,2018-09-29,0.92,
6HSB,2018-09-29,1.95,
6HSQ,2018-10-01,1.46,
6HSR,2018-10-01,2.0,
6HSU,2018-10-01,1.6,
6HWP,2018-10-12,2.547,
6I0M,2018-10-26,2.567,
6I0O,2018-10-26,2.623,
6I86,2018-11-19,2.0,
6IHC,2018-09-29,2.4,
6IPV,2018-11-05,2.2,
6IPW,2018-11-05,2.1,
6IUS,2018-11-30,2.12,
6IX3,2018-12-09,2.13,
6IX5,2018-12-09,1.7,
6IX7,2018-12-09,1.835,
6IX8,2018-12-09,1.659,
6IX9,2018-12-09,1.776,
6J0P,2018-12-25,1.79,
6J1E,2018-12-28,2.4,
6J1F,2018-12-28,2.1,
6J1G,2018-12-28,2.5,
6J1H,2018-12-28,2.101,
6J1I,2018-12-28,2.29,
6J1J,2018-12-28,2.0,
6J1M,2018-12-28,2.001,
6J1N,2018-12-28,2.532,
6J31,2019-01-03,2.244,
6J32,2019-01-03,2.5,
6JDD,2019-02-01,2.6,
6JH7,2019-02-17,1.38,
6JHA,2019-02-17,1.78,
6JHB,2019-02-17,2.27,
6JLS,2019-03-06,2.24,
6JSX,2019-04-08,2.7,
6JT7,2019-04-10,1.86,
6JT8,2019-04-10,1.9,
6JT9,2019-04-10,2.1,
6JTA,2019-04-10,1.75,
6JV6,2019-04-16,2.15,
6JZV,2019-05-04,2.0,
6JZW,2019-05-04,2.64,
6K0K,2019-05-07,2.68,
6K3C,2019-05-17,3.074,
6K4F,2019-05-23,1.735,
6KA2,2019-06-20,2.35,
6KA3,2019-06-20,1.951,
6KFY,2019-07-09,1.97,
6KFZ,2019-07-09,1.96,
6KG0,2019-07-09,2.78,
6KG1,2019-07-09,2.7,
6KNH,2019-08-05,1.76,
6KNI,2019-08-05,1.97,
6KNK,2019-08-05,2.3,
6KOG,2019-08-10,1.68,
6KU3,2019-08-30,2.15,
6KUN,2019-09-02,2.002,
6KV9,2019-09-03,1.48,
6KVC,2019-09-04,1.66,
6LD7,2019-11-20,2.1,
6LD8,2019-11-20,2.31,
6LD9,2019-11-20,2.5,
6LE0,2019-11-23,2.51,
6LE3,2019-11-23,2.1,
6LGO,2019-12-05,2.39,
6LK3,2019-12-18,2.1,
6LKC,2019-12-19,1.998,
6LKZ,2019-12-21,2.8,
6LTA,2020-01-22,2.45,
6LTB,2020-01-22,3.1,
6LTC,2020-01-22,3.3,
6LTD,2020-01-22,4.1,
6LV0,2020-02-02,1.998,
6LVT,2020-02-05,,
6LVU,2020-02-05,2.294,
6M03,2020-02-19,2.0,
6M25,2020-02-26,2.5,
6M26,2020-02-26,2.61,
6M27,2020-02-26,2.6,
6M28,2020-02-26,3.0,
6M29,2020-02-26,2.9,
6M2A,2020-02-26,2.23,
6M2E,2020-02-27,2.6,
6M2F,2020-02-27,2.4,
6M2G,2020-02-27,2.8,
6M2H,2020-02-27,3.1,
6M2Y,2020-03-02,2.1,
6M2Z,2020-03-02,2.35,
6M53,2020-03-09,1.55,
6M7L,2018-08-20,2.64829708903,
6M7Y,2018-08-21,2.794,
6MF9,2018-09-10,2.037,
6MIC,2018-09-19,1.531,
6MJF,2018-09-20,2.198,
6MJG,2018-09-20,2.123,
6MOE,2018-10-04,2.091,
6MOF,2018-10-04,2.894,
6MOG,2018-10-04,1.21,
6MOH,2018-10-04,3.2,
6MOI,2018-10-04,2.065,
6MOJ,2018-10-04,2.431,
6MOK,2018-10-04,5.101,
6MOL,2018-10-04,3.163,
6N04,2018-11-06,1.998,
6N3P,2018-11-15,2.5,
6N6Z,2018-11-27,2.642,
6N70,2018-11-27,2.738,
6N72,2018-11-27,2.735,
6N73,2018-11-27,2.398,
6N74,2018-11-27,1.852,
6N75,2018-11-27,2.991,
6N76,2018-11-27,2.892,
6N9A,2018-12-01,2.5,
6NCS,2018-12-12,1.8,
6NEG,2018-12-17,1.95,
6NEH,2018-12-17,1.52,
6NEJ,2018-12-17,1.6,
6NHT,2018-12-23,2.9,
6NHV,2018-12-24,3.5,
6NIE,2018-12-27,1.95,
6NL2,2019-01-07,1.92,
6NNC,2019-01-14,1.8,
6NND,2019-01-14,1.7,
6NNH,2019-01-15,1.523,
6NNI,2019-01-15,1.561,
6NOX,2019-01-16,,
6NR6,2019-01-22,1.9,
6NSD,2019-01-24,1.74,
6NVA,2019-02-04,2.16,
6NW4,2019-02-06,3.0,
6OBW,2019-03-21,,
6OC2,2019-03-21,,
6OC4,2019-03-21,,
6ODD,2019-03-26,2.0,
6OHI,2019-04-05,2.27,
6OHJ,2019-04-05,3.19,
6OJO,2019-04-11,1.886,
6OLD,2019-04-16,,
6OM4,2019-04-18,1.7,
6OYF,2019-05-14,2.1,
6OZV,2019-05-16,2.18,
6P1J,2019-05-20,2.95,
6P29,2019-05-21,1.5,
6P3I,2019-05-23,2.15,
6P4U,2019-05-28,2.1,
6P5X,2019-05-31,1.97,
6P5Z,2019-05-31,2.26,
6P63,2019-05-31,2.4,
6PBN,2019-06-14,1.65,
6PBP,2019-06-14,1.64,
6PBT,2019-06-14,2.18,
6PD1,2019-06-18,2.72,
6PD2,2019-06-18,1.95,
6PE3,2019-06-19,2.3,
6PEU,2019-06-20,1.95,
6PH9,2019-06-25,1.92,
6PIB,2019-06-26,2.26,
6PJ3,2019-06-27,2.25,
6PQZ,2019-07-10,2.23,
6PVF,2019-07-20,1.69,
6PVG,2019-07-20,1.709,
6PVH,2019-07-20,1.89,
6PVI,2019-07-20,2.093,
6PVJ,2019-07-20,1.25,
6Q32,2018-12-03,1.39,
6QSP,2019-02-21,1.45,
6QSR,2019-02-21,1.85,
6QTL,2019-02-25,2.25,
6R2G,2019-03-17,1.9,
6RM2,2019-05-04,2.5,
6SBB,2019-07-19,1.95,
6SBC,2019-07-19,1.35,
6SBD,2019-07-19,1.4,
6SBE,2019-07-19,1.4,
6SBF,2019-07-19,1.3,
6SBG,2019-07-19,2.3,
6SM5,2019-08-21,2.75,
6SME,2019-08-21,1.7,
6SMF,2019-08-21,2.343,
6T5X,2019-10-17,1.5,
6T60,2019-10-17,1.66,
6T62,2019-10-17,1.8,
6T65,2019-10-17,2.35,
6T6N,2019-10-18,2.5,
6T6P,2019-10-18,1.57,
6T77,2019-10-21,1.75,
6T7M,2019-10-22,2.65,
6TA1,2019-10-29,3.1,
6TA8,2019-10-29,2.4,
6TBB,2019-11-01,2.45,
6TBC,2019-11-01,2.55,
6TBD,2019-11-01,2.3,
6TBL,2019-11-01,2.65,
6TBN,2019-11-01,2.0,
6TG5,2019-11-15,,
6THU,2019-11-21,2.6,
6TIV,2019-11-22,2.38,
6TJ1,2019-11-23,2.4,
6TJA,2019-11-25,2.27,
6TJZ,2019-11-27,2.4,
6TMS,2019-12-05,2.7,
6TNH,2019-12-08,2.21,
6U1Q,2019-08-16,2.87,
6U24,2019-08-19,,
6U7Q,2019-09-03,,
6U7R,2019-09-03,,
6U7S,2019-09-03,,
6U7U,2019-09-03,,
6U7W,2019-09-03,,
6U7X,2019-09-03,,
6U8E,2019-09-04,3.03,
6U8N,2019-09-05,3.29,
6U8R,2019-09-05,3.91,
6U8S,2019-09-05,3.14,
6U9O,2019-09-09,3.36,
6UA2,2019-09-10,4.2,
6UA4,2019-09-10,3.65,
6UA5,2019-09-10,3.79,
6UAJ,2019-09-10,3.84,
6UC2,2019-09-13,4.48,
6UDO,2019-09-19,3.21,
6UDP,2019-09-19,2.95,
6UDQ,2019-09-19,3.27,
6ULU,2019-10-08,2.76,
6ULW,2019-10-08,3.4,
6ULX,2019-10-08,2.31,
6ULY,2019-10-08,2.3,
6ULZ,2019-10-08,3.1,
6UVX,2019-11-04,2.3,
6UW1,2019-11-04,2.205,
6UW3,2019-11-04,2.4,
6UW5,2019-11-04,2.2,
6UW7,2019-11-04,2.342,
6V1N,2019-11-20,,
6VAP,2019-12-17,1.93,
6VHT,2020-01-10,1.84,
6VHU,2020-01-10,1.6,
6VHV,2020-01-10,2.89,
6VHW,2020-01-10,1.83,
6VHX,2020-01-10,1.7,
6VHY,2020-01-10,3.0,
6VHZ,2020-01-10,2.12,
6VS5,2020-02-10,1.758,
6VS6,2020-02-10,1.853,
6VS8,2020-02-10,1.829,
6VS9,2020-02-10,1.842,
6VSD,2020-02-11,1.693,
6VSE,2020-02-11,1.758,
6VSF,2020-02-11,2.012,
6VSG,2020-02-11,2.304,
6VV6,2020-02-17,2.235,
6VV7,2020-02-17,1.999,
6VV8,2020-02-17,2.683,
6VV9,2020-02-17,2.18,
6VXY,2020-02-25,1.398,
6VY8,2020-02-25,,
6VZX,2020-02-28,1.37,
6W2Q,2020-03-08,1.8,
6W2R,2020-03-08,2.344,
6W2V,2020-03-08,2.399,
6W2W,2020-03-08,2.21,
6W3D,2020-03-09,1.38,
6W3F,2020-03-09,1.83,
6W3G,2020-03-09,1.62,
6W46,2020-03-10,1.25,
6W47,2020-03-10,1.15,
6W9Y,2020-03-24,2.55,
6W9Z,2020-03-24,2.7,
